ADC (RD)   —   Priority Agenda Review   |   DC Ludhiana (MASTER),,,,,,,,,,,,,,,,,
Sr,Priority Agenda,KPI / Metric,Concerned Officer / Unit,"Target /
Total","Flag
Bar","Last
Value","Current
Value",Change,"Achieved
%",Status,Auto-Flag,"Bottom
Performer",Updated By,"Update
Date",Remarks / Context / Pending Action,Rule,Key
▣  SCHEMES  —  metric-based (fed from officer workbook),,,,,,,,,,,,,,,,,
1.0,Mavan Dhiyan Satikar Yojana (MMMDSY),📊 Mahila Satkar Sakhis registered,,,,,14548.0,,,,,,,,"of 25,556 target (56.92%, was 55.29%). Remaining 11,008.",,
,,📊 Anganwadi readiness,,,,,Paint 72.8% | Furniture 100%,,,,,,,,"Paintwork 1,810/2,487; chairs/tables/printing 100%. Nodals: BDPO 6/12, MCL 2/14.",,
,,Mahila Satkar Sakhis — registered,sakhis,25556.0,20445.0,14107.0,14548.0,441,0.569259665,In Progress,🔴 LOW,Auto,Gov Cell (report),05-06-2026,"Remaining 11,008 | 56.92% (was 55.29%)",MIN,ADCRD-001
,,Anganwadi Centres — paintwork done,centres,2487.0,2238.0,1776.0,1810.0,34,0.7277844793,In Progress,🔴 LOW,Auto,Gov Cell (report),05-06-2026,Remaining 677 | 72.77% (was 71.4%),MIN,ADCRD-002
,,Anganwadi Centres — chairs supplied,centres,2487.0,2487.0,2487.0,2487.0,0,1,Completed,,Auto,Gov Cell (report),05-06-2026,100%,MIN,ADCRD-003
,,Anganwadi Centres — tables supplied,centres,2487.0,2487.0,2487.0,2487.0,0,1,Completed,,Auto,Gov Cell (report),05-06-2026,100%,MIN,ADCRD-004
,,Anganwadi Centres — printing material,centres,2487.0,2487.0,2487.0,2487.0,0,1,Completed,,Auto,Gov Cell (report),05-06-2026,100%,MIN,ADCRD-005
,,BDPO Nodals appointed,nodals,12.0,12.0,0.0,6.0,6,0.5,In Progress,🔴 LOW,Auto,Gov Cell (report),05-06-2026,50% (was 0%),MIN,ADCRD-006
,,MCL Nodals appointed,nodals,14.0,14.0,2.0,2.0,0,0.1428571429,Pending/Blocked,🔴 LOW,Auto,Gov Cell (report),05-06-2026,14.2% — stalled,MIN,ADCRD-007
2.0,Rangla Punjab — Phase I,📊 Total works proposed,,,,,433.0,,,,,,,,"District total, Phase I. Sanctioned amount Rs 34.99 Cr.",,
,,📊 Works started,,,,,431.0,,,,,,,,431 of 433 started (Total − Not started).,,
,,📊 Works in progress,,,,,326.0,,,,,,,,Currently under execution.,,
,,📊 Works completed,,,,,105.0,,,,,,,,Physically complete.,,
,,📊 Works NOT started,,,,,2.0,,,,,,,,DD Animal Husbandry (1) + XEN Prov. Divn B&R (1).,,
,,Phase I — works completed (district),works,433.0,433.0,,105.0,,0.2424942263,In Progress,🔴 LOW,Auto,Gov Cell (report),05-06-2026,326 in progress; 2 not started,MIN,ADCRD-008
,,P-I completed — BDPO Doraha,works,34.0,1.0,,29.0,,0.8529411765,In Progress,,Auto,Gov Cell (report),05-06-2026,of 34 proposed — Phase-I works physically completed by this agency of its proposed total.,MIN,ADCRD-009
,,P-I completed — BDPO Jagraon,works,42.0,1.0,,4.0,,0.09523809524,In Progress,,Auto,Gov Cell (report),05-06-2026,of 42 proposed — Phase-I works physically completed by this agency of its proposed total.,MIN,ADCRD-010
,,P-I completed — BDPO Khanna,works,26.0,1.0,,0.0,,0,In Progress,🔴 LOW,Auto,Gov Cell (report),05-06-2026,of 26 proposed — Phase-I works physically completed by this agency of its proposed total.,MIN,ADCRD-011
